iter	Passed	Remaining
0	8	8297
1	12	6063
2	14	4846
3	19	4772
4	21	4325
5	25	4292
6	30	4393
7	35	4417
8	37	4124
9	42	4216
10	45	4112
11	49	4065
12	52	3998
13	55	3879
14	58	3843
15	61	3757
16	63	3665
17	65	3598
18	67	3490
19	70	3446
20	73	3436
21	77	3432
22	80	3418
23	82	3368
24	85	3339
25	87	3295
26	90	3253
27	92	3209
28	94	3174
29	97	3136
30	98	3084
31	100	3025
32	102	2998
33	104	2974
34	107	2950
35	109	2930
36	111	2904
37	113	2880
38	116	2861
39	119	2859
40	121	2845
41	124	2829
42	126	2812
43	128	2796
44	131	2793
45	133	2778
46	136	2768
47	138	2754
48	141	2743
49	143	2728
50	146	2717
51	148	2702
52	150	2689
53	152	2676
54	154	2659
55	156	2644
56	158	2620
57	161	2618
58	164	2628
59	167	2619
60	169	2610
61	172	2604
62	174	2595
63	177	2593
64	179	2584
65	181	2574
66	183	2554
67	185	2544
68	188	2538
69	190	2535
70	192	2518
71	194	2511
72	196	2495
73	198	2489
74	201	2479
75	203	2472
76	205	2467
77	207	2456
78	210	2454
79	212	2442
80	213	2426
81	216	2420
82	219	2421
83	220	2404
84	222	2399
85	225	2396
86	228	2393
87	230	2387
88	232	2384
89	235	2380
90	237	2375
91	240	2370
92	243	2375
93	246	2377
94	249	2372
95	251	2369
96	254	2371
97	257	2367
98	259	2360
99	261	2357
100	264	2351
101	266	2345
102	267	2333
103	270	2326
104	272	2320
105	274	2317
106	277	2314
107	279	2304
108	280	2292
109	282	2288
110	285	2283
111	286	2273
112	289	2270
113	291	2266
114	293	2261
115	296	2257
116	298	2250
117	300	2243
118	302	2237
119	304	2234
120	306	2229
121	309	2225
122	311	2220
123	313	2216
124	316	2212
125	318	2207
126	320	2201
127	322	2196
128	324	2192
129	326	2187
130	329	2182
131	331	2178
132	333	2174
133	335	2170
134	337	2165
135	340	2160
136	342	2155
137	344	2150
138	346	2146
139	348	2138
140	350	2133
141	352	2128
142	354	2123
143	356	2118
144	358	2113
145	360	2108
146	362	2103
147	364	2098
148	366	2094
149	368	2090
150	370	2085
151	373	2081
152	374	2075
153	377	2071
154	379	2066
155	380	2061
156	382	2056
157	384	2051
158	386	2046
159	388	2039
160	390	2034
161	392	2030
162	394	2025
163	396	2021
164	398	2016
165	400	2012
166	402	2008
167	404	2004
168	406	1999
169	408	1995
170	410	1991
171	412	1987
172	414	1983
173	416	1978
174	418	1974
175	420	1970
176	422	1965
177	424	1961
178	426	1957
179	428	1953
180	430	1949
181	432	1945
182	434	1941
183	436	1937
184	439	1934
185	441	1930
186	443	1926
187	445	1922
188	447	1919
189	448	1913
190	450	1909
191	452	1905
192	454	1901
193	456	1897
194	458	1893
195	460	1889
196	462	1885
197	464	1882
198	466	1878
199	467	1871
200	469	1868
201	471	1864
202	473	1860
203	475	1857
204	478	1853
205	479	1849
206	481	1846
207	483	1841
208	485	1837
209	487	1833
210	489	1830
211	491	1827
212	493	1823
213	495	1818
214	497	1814
215	499	1811
216	500	1806
217	502	1803
218	504	1800
219	506	1797
220	507	1790
221	509	1787
222	511	1783
223	513	1780
224	515	1775
225	517	1772
226	519	1768
227	521	1764
228	523	1761
229	525	1758
230	527	1755
231	529	1752
232	531	1749
233	533	1746
234	535	1743
235	537	1740
236	539	1736
237	541	1733
238	543	1730
239	544	1725
240	547	1722
241	549	1719
242	550	1716
243	552	1713
244	554	1710
245	557	1707
246	559	1704
247	561	1702
248	563	1699
249	565	1695
250	567	1692
251	569	1689
252	571	1686
253	573	1683
254	575	1681
255	577	1678
256	579	1675
257	581	1672
258	583	1669
259	585	1665
260	587	1662
261	589	1659
262	591	1656
263	593	1653
264	594	1649
265	596	1646
266	598	1643
267	600	1640
268	602	1636
269	603	1633
270	606	1630
271	608	1627
272	610	1624
273	611	1621
274	613	1618
275	615	1615
276	617	1612
277	619	1609
278	621	1606
279	623	1603
280	625	1600
281	627	1597
282	629	1595
283	631	1592
284	633	1590
285	636	1587
286	638	1585
287	640	1582
288	642	1580
289	644	1577
290	646	1574
291	648	1571
292	650	1568
293	652	1566
294	654	1563
295	656	1561
296	658	1558
297	660	1555
298	661	1551
299	663	1548
300	665	1546
301	667	1543
302	669	1540
303	671	1538
304	673	1534
305	675	1532
306	677	1528
307	679	1526
308	681	1523
309	683	1521
310	685	1518
311	687	1515
312	689	1513
313	691	1510
314	693	1507
315	695	1504
316	697	1502
317	699	1499
318	701	1497
319	703	1494
320	705	1491
321	707	1488
322	709	1486
323	711	1483
324	713	1481
325	714	1477
326	716	1474
327	718	1471
328	720	1468
329	722	1465
330	724	1463
331	726	1460
332	727	1458
333	729	1455
334	731	1452
335	733	1450
336	735	1446
337	737	1444
338	739	1441
339	741	1439
340	743	1436
341	745	1433
342	746	1430
343	748	1427
344	750	1424
345	752	1422
346	754	1419
347	756	1417
348	758	1414
349	759	1411
350	761	1408
351	763	1405
352	765	1402
353	766	1399
354	768	1395
355	770	1392
356	771	1390
357	773	1387
358	775	1385
359	777	1382
360	779	1380
361	781	1377
362	783	1374
363	785	1371
364	786	1368
365	788	1366
366	790	1363
367	792	1361
368	794	1358
369	796	1355
370	798	1353
371	800	1350
372	802	1348
373	804	1345
374	805	1342
375	807	1339
376	809	1337
377	811	1334
378	813	1332
379	815	1329
380	816	1327
381	819	1325
382	821	1322
383	823	1320
384	825	1317
385	827	1315
386	828	1313
387	831	1310
388	833	1308
389	835	1306
390	836	1303
391	839	1301
392	840	1298
393	842	1295
394	844	1293
395	846	1291
396	848	1289
397	850	1286
398	852	1284
399	854	1281
400	856	1279
401	858	1276
402	859	1273
403	861	1271
404	863	1268
405	865	1266
406	867	1264
407	869	1261
408	871	1259
409	873	1257
410	875	1255
411	877	1252
412	879	1250
413	881	1248
414	883	1245
415	885	1243
416	887	1240
417	889	1238
418	891	1236
419	893	1233
420	895	1230
421	897	1228
422	898	1226
423	900	1223
424	902	1221
425	904	1219
426	906	1216
427	908	1214
428	910	1212
429	912	1210
430	914	1207
431	916	1205
432	918	1203
433	920	1200
434	922	1198
435	924	1196
436	926	1193
437	928	1190
438	930	1188
439	932	1186
440	933	1183
441	935	1181
442	937	1179
443	939	1176
444	941	1174
445	943	1172
446	945	1169
447	947	1167
448	949	1165
449	951	1163
450	953	1160
451	955	1158
452	956	1155
453	958	1153
454	960	1150
455	962	1148
456	964	1146
457	966	1143
458	968	1141
459	970	1139
460	972	1136
461	974	1134
462	976	1132
463	978	1130
464	980	1127
465	982	1125
466	984	1123
467	986	1121
468	988	1118
469	990	1116
470	992	1114
471	993	1111
472	995	1109
473	997	1106
474	999	1104
475	1001	1102
476	1003	1099
477	1005	1097
478	1007	1095
479	1008	1093
480	1010	1090
481	1012	1088
482	1014	1085
483	1016	1083
484	1018	1081
485	1020	1079
486	1022	1077
487	1024	1074
488	1026	1072
489	1028	1070
490	1030	1068
491	1032	1065
492	1034	1063
493	1036	1061
494	1038	1059
495	1040	1056
496	1041	1054
497	1043	1052
498	1045	1050
499	1047	1047
500	1049	1045
501	1051	1042
502	1053	1040
503	1055	1038
504	1057	1036
505	1059	1034
506	1060	1031
507	1062	1029
508	1064	1026
509	1066	1024
510	1068	1022
511	1070	1020
512	1072	1018
513	1074	1015
514	1076	1013
515	1077	1010
516	1079	1008
517	1081	1006
518	1083	1004
519	1085	1002
520	1087	999
521	1089	997
522	1091	995
523	1092	992
524	1094	990
525	1095	987
526	1097	985
527	1099	983
528	1101	980
529	1103	978
530	1105	976
531	1107	974
532	1109	972
533	1111	969
534	1113	967
535	1115	965
536	1117	963
537	1119	961
538	1121	958
539	1123	956
540	1125	954
541	1127	952
542	1128	950
543	1130	948
544	1132	945
545	1134	943
546	1136	941
547	1138	939
548	1140	937
549	1142	934
550	1144	932
551	1146	930
552	1148	928
553	1150	925
554	1152	923
555	1154	921
556	1156	919
557	1158	917
558	1160	915
559	1162	913
560	1164	911
561	1166	909
562	1168	907
563	1170	904
564	1172	902
565	1174	900
566	1176	898
567	1178	896
568	1180	894
569	1182	892
570	1184	890
571	1186	887
572	1188	885
573	1190	883
574	1192	881
575	1194	879
576	1196	877
577	1198	875
578	1200	872
579	1202	870
580	1204	868
581	1206	866
582	1208	864
583	1210	862
584	1212	859
585	1214	857
586	1215	855
587	1217	853
588	1219	851
589	1221	849
590	1223	846
591	1225	844
592	1227	842
593	1229	840
594	1231	838
595	1233	836
596	1235	834
597	1237	832
598	1239	829
599	1241	827
600	1243	825
601	1245	823
602	1247	821
603	1249	819
604	1251	817
605	1253	815
606	1255	812
607	1257	810
608	1259	808
609	1261	806
610	1263	804
611	1266	802
612	1268	800
613	1270	798
614	1272	796
615	1274	794
616	1276	792
617	1278	790
618	1280	788
619	1282	786
620	1284	783
621	1286	781
622	1288	779
623	1290	777
624	1292	775
625	1294	773
626	1296	771
627	1298	769
628	1299	766
629	1301	764
630	1303	762
631	1305	760
632	1307	758
633	1309	756
634	1311	754
635	1313	751
636	1315	749
637	1317	747
638	1319	745
639	1322	743
640	1323	741
641	1325	739
642	1327	737
643	1329	735
644	1331	732
645	1333	730
646	1335	728
647	1337	726
648	1339	724
649	1341	722
650	1343	720
651	1345	717
652	1346	715
653	1348	713
654	1350	711
655	1352	709
656	1354	707
657	1356	705
658	1358	703
659	1360	701
660	1362	698
661	1364	696
662	1367	694
663	1369	692
664	1371	690
665	1373	688
666	1374	686
667	1377	684
668	1379	682
669	1381	680
670	1383	678
671	1385	676
672	1387	674
673	1389	671
674	1391	669
675	1393	667
676	1394	665
677	1397	663
678	1399	661
679	1401	659
680	1403	657
681	1405	655
682	1407	653
683	1409	651
684	1411	648
685	1413	646
686	1415	644
687	1417	642
688	1418	640
689	1420	638
690	1422	636
691	1425	634
692	1427	632
693	1429	630
694	1431	628
695	1433	626
696	1435	624
697	1437	622
698	1439	620
699	1442	618
700	1444	616
701	1445	613
702	1447	611
703	1449	609
704	1452	607
705	1454	605
706	1459	604
707	1461	602
708	1464	600
709	1466	599
710	1469	597
711	1471	595
712	1473	593
713	1476	591
714	1478	589
715	1480	587
716	1483	585
717	1485	583
718	1487	581
719	1490	579
720	1492	577
721	1494	575
722	1496	573
723	1498	571
724	1500	569
725	1502	567
726	1504	565
727	1507	563
728	1509	561
729	1511	559
730	1513	557
731	1515	554
732	1517	552
733	1519	550
734	1521	548
735	1523	546
736	1525	544
737	1527	542
738	1530	540
739	1532	538
740	1533	536
741	1535	534
742	1538	532
743	1540	529
744	1542	527
745	1543	525
746	1545	523
747	1547	521
748	1549	519
749	1550	516
750	1553	514
751	1555	512
752	1557	510
753	1559	508
754	1561	506
755	1563	504
756	1565	502
757	1568	500
758	1570	498
759	1572	496
760	1574	494
761	1576	492
762	1579	490
763	1581	488
764	1583	486
765	1585	484
766	1587	482
767	1590	480
768	1592	478
769	1593	476
770	1595	473
771	1598	471
772	1600	469
773	1601	467
774	1603	465
775	1606	463
776	1607	461
777	1609	459
778	1611	457
779	1614	455
780	1616	453
781	1618	451
782	1620	449
783	1622	446
784	1624	444
785	1626	442
786	1628	440
787	1630	438
788	1632	436
789	1635	434
790	1637	432
791	1639	430
792	1641	428
793	1643	426
794	1645	424
795	1647	422
796	1649	420
797	1651	418
798	1653	415
799	1655	413
800	1657	411
801	1659	409
802	1661	407
803	1663	405
804	1665	403
805	1667	401
806	1669	399
807	1671	397
808	1673	395
809	1675	393
810	1677	390
811	1679	388
812	1681	386
813	1683	384
814	1685	382
815	1687	380
816	1689	378
817	1691	376
818	1693	374
819	1695	372
820	1698	370
821	1700	368
822	1702	366
823	1704	363
824	1706	361
825	1708	359
826	1710	357
827	1712	355
828	1714	353
829	1716	351
830	1718	349
831	1720	347
832	1722	345
833	1724	343
834	1726	341
835	1728	339
836	1730	337
837	1732	334
838	1734	332
839	1737	330
840	1739	328
841	1741	326
842	1743	324
843	1745	322
844	1747	320
845	1749	318
846	1751	316
847	1754	314
848	1756	312
849	1758	310
850	1760	308
851	1762	306
852	1764	304
853	1766	301
854	1768	299
855	1770	297
856	1772	295
857	1775	293
858	1777	291
859	1779	289
860	1781	287
861	1783	285
862	1785	283
863	1787	281
864	1789	279
865	1791	277
866	1793	275
867	1795	273
868	1797	271
869	1799	268
870	1801	266
871	1804	264
872	1806	262
873	1808	260
874	1810	258
875	1812	256
876	1814	254
877	1816	252
878	1818	250
879	1820	248
880	1822	246
881	1824	244
882	1826	241
883	1828	239
884	1830	237
885	1832	235
886	1834	233
887	1835	231
888	1837	229
889	1839	227
890	1841	225
891	1842	223
892	1844	221
893	1846	218
894	1848	216
895	1850	214
896	1852	212
897	1854	210
898	1856	208
899	1858	206
900	1860	204
901	1862	202
902	1864	200
903	1866	198
904	1868	196
905	1870	194
906	1872	192
907	1874	189
908	1876	187
909	1878	185
910	1880	183
911	1882	181
912	1884	179
913	1886	177
914	1888	175
915	1890	173
916	1892	171
917	1894	169
918	1896	167
919	1898	165
920	1900	163
921	1902	160
922	1904	158
923	1906	156
924	1908	154
925	1910	152
926	1912	150
927	1914	148
928	1917	146
929	1919	144
930	1921	142
931	1923	140
932	1924	138
933	1926	136
934	1928	134
935	1930	132
936	1932	129
937	1934	127
938	1937	125
939	1939	123
940	1941	121
941	1943	119
942	1945	117
943	1947	115
944	1949	113
945	1951	111
946	1953	109
947	1956	107
948	1958	105
949	1960	103
950	1962	101
951	1964	99
952	1966	97
953	1968	94
954	1971	92
955	1973	90
956	1975	88
957	1977	86
958	1979	84
959	1981	82
960	1983	80
961	1985	78
962	1987	76
963	1990	74
964	1992	72
965	1995	70
966	1997	68
967	2000	66
968	2002	64
969	2005	62
970	2007	59
971	2010	57
972	2012	55
973	2015	53
974	2017	51
975	2019	49
976	2022	47
977	2024	45
978	2027	43
979	2029	41
980	2032	39
981	2035	37
982	2037	35
983	2040	33
984	2042	31
985	2045	29
986	2047	26
987	2049	24
988	2052	22
989	2054	20
