iter	Passed	Remaining
0	9	9352
1	11	5904
2	13	4582
3	17	4380
4	23	4620
5	27	4550
6	31	4515
7	36	4583
8	39	4307
9	45	4491
10	52	4736
11	58	4776
12	61	4687
13	68	4814
14	73	4857
15	80	4936
16	87	5071
17	94	5142
18	95	4951
19	104	5133
20	111	5176
21	115	5154
22	123	5246
23	127	5165
24	131	5116
25	140	5260
26	146	5288
27	150	5237
28	158	5314
29	162	5249
30	164	5135
31	165	5014
32	172	5041
33	174	4967
34	177	4892
35	181	4872
36	187	4873
37	189	4806
38	192	4740
39	194	4674
40	197	4609
41	204	4653
42	207	4615
43	210	4567
44	213	4522
45	215	4470
46	220	4472
47	223	4432
48	226	4399
49	229	4354
50	231	4311
51	234	4269
52	236	4228
53	239	4200
54	241	4157
55	244	4122
56	246	4083
57	249	4047
58	251	4015
59	254	3983
60	257	3962
61	259	3930
62	262	3901
63	265	3881
64	268	3857
65	271	3835
66	272	3801
67	275	3779
68	278	3753
69	280	3727
70	282	3692
71	284	3672
72	286	3640
73	289	3622
74	291	3594
75	293	3574
76	296	3555
77	298	3530
78	302	3526
79	304	3502
80	306	3474
81	308	3455
82	310	3435
83	312	3406
84	315	3392
85	317	3373
86	319	3356
87	322	3346
88	325	3329
89	327	3312
90	329	3295
91	333	3286
92	335	3272
93	338	3259
94	341	3251
95	344	3241
96	346	3228
97	349	3215
98	352	3206
99	354	3192
100	357	3179
101	360	3170
102	361	3151
103	364	3139
104	366	3127
105	369	3119
106	372	3105
107	373	3087
108	375	3068
109	378	3058
110	380	3048
111	382	3030
112	384	3020
113	387	3009
114	390	3002
115	392	2991
116	394	2978
117	396	2964
118	398	2953
119	401	2941
120	403	2931
121	405	2920
122	408	2910
123	410	2900
124	413	2891
125	415	2882
126	417	2870
127	419	2860
128	422	2850
129	424	2841
130	427	2832
131	429	2823
132	431	2814
133	434	2805
134	436	2796
135	438	2788
136	441	2779
137	443	2769
138	445	2761
139	447	2750
140	449	2741
141	452	2732
142	454	2724
143	456	2715
144	459	2708
145	461	2700
